sale_id,date,product_id,distribution_id,quantity,unit_price_rial,discount_percent,total_price_rial,is_consistent
1,1405-01-21,P002,D009,17,1050000,0,17850000,True
2,1404-12-29,P002,D009,9,1050000,3,9166500,True
3,1404-08-22,P012,D001,24,820000,0,19680000,True
4,1404-08-21,P016,D014,53,1250000,3,64262500,True
5,1405-02-25,P011,D014,80,1350000,7,100440000,True
6,1404-12-25,P014,D009,48,650000,3,30264000,True
7,1404-10-21,P009,D006,47,610000,3,27809900,True
8,1405-01-08,P005,D006,53,480000,4,24422400,True
9,1405-02-08,P017,D009,9,720000,0,6480000,True
10,1404-08-19,P019,D012,80,950000,8,69920000,True
11,1404-07-24,P004,D020,83,1450000,7,111925500,True
12,1404-08-22,P020,D004,10,620000,0,6200000,True
13,1405-03-17,P009,D014,76,610000,3,44969200,True
14,1405-02-07,P003,D028,48,580000,6,26169600,True
15,1404-06-03,P015,D035,24,2100000,2,49392000,True
16,1405-04-04,P011,D014,28,1350000,0,37800000,True
17,1405-01-03,P010,D014,41,790000,3,31418300,True
18,1404-07-02,P010,D028,21,790000,0,16590000,True
19,1404-09-09,P018,D008,81,590000,7,44444700,True
20,1404-10-28,P014,D033,60,650000,5,37050000,True
21,1404-06-09,P012,D001,14,820000,2,11250400,True
22,1404-06-28,P006,D008,24,850000,3,19788000,True
23,1404-09-01,P010,D004,60,790000,3,45978000,True
24,1405-02-04,P020,D015,43,620000,4,25593600,True
25,1404-08-11,P009,D011,32,610000,0,19520000,True
26,1404-06-20,P020,D035,36,620000,0,22320000,True
27,1405-04-13,P018,D001,65,590000,6,36049000,True
28,1404-09-17,P014,D029,64,650000,3,40352000,True
29,1404-12-25,P011,D003,102,1350000,6,129438000,True
30,1404-06-23,P011,D003,12,1350000,0,16200000,True
31,1405-05-11,P012,D002,16,820000,2,12857600,True
32,1405-05-08,P005,D009,59,480000,6,26620800,True
33,1404-09-28,P016,D017,67,1250000,4,80400000,True
34,1404-12-04,P004,D003,45,1450000,5,61987500,True
35,1405-01-09,P020,D001,69,620000,4,41068800,True
36,1404-09-09,P018,D006,45,590000,4,25488000,True
37,1405-02-09,P018,D010,11,590000,2,6360200,True
38,1404-06-18,P007,D036,26,580000,3,14627600,True
39,1404-12-20,P003,D025,39,580000,0,22620000,True
40,1404-11-08,P002,D034,9,1050000,0,9450000,True
41,1405-02-02,P008,D032,22,720000,0,15840000,True
42,1405-05-24,P017,D001,47,720000,4,32486400,True
43,1404-09-10,P017,D032,74,720000,6,50083200,True
44,1404-10-10,P017,D009,27,720000,0,19440000,True
45,1405-05-20,P006,D015,69,850000,5,55717500,True
46,1404-08-07,P020,D004,68,620000,6,39630400,True
47,1405-01-06,P011,D021,31,1350000,0,41850000,True
48,1404-10-15,P003,D012,40,580000,5,22040000,True
49,1404-12-05,P013,D026,82,520000,8,39228800,True
50,1405-02-05,P018,D011,72,590000,4,40780800,True
51,1404-11-08,P012,D017,63,820000,4,49593600,True
52,1405-01-29,P007,D023,18,580000,2,10231200,True
53,1404-08-24,P005,D009,73,480000,6,32937600,True
54,1404-11-03,P013,D026,61,520000,3,30768400,True
55,1405-04-24,P018,D029,43,590000,6,23847800,True
56,1404-06-20,P006,D017,77,850000,5,62177500,True
57,1405-05-14,P018,D026,88,590000,8,47766400,True
58,1405-04-25,P016,D010,34,1250000,3,41225000,True
59,1405-01-15,P006,D011,45,850000,3,37102500,True
60,1404-07-22,P005,D026,13,480000,3,6052800,True
61,1404-11-04,P005,D033,68,480000,6,30681600,True
62,1404-11-25,P019,D015,64,950000,4,58368000,True
63,1404-11-29,P006,D014,64,850000,4,52224000,True
64,1405-05-25,P011,D022,8,1350000,3,10476000,True
65,1404-08-08,P006,D017,47,850000,6,37553000,True
66,1404-09-04,P003,D020,43,580000,3,24191800,True
67,1405-03-03,P020,D001,24,620000,0,14880000,True
68,1404-12-21,P005,D028,43,480000,3,20020800,True
69,1405-03-12,P005,D021,51,480000,6,23011200,True
70,1404-10-27,P015,D025,40,2100000,3,81480000,True
71,1405-03-19,P012,D020,56,820000,3,44542400,True
72,1405-04-08,P017,D035,63,720000,5,43092000,True
73,1405-01-10,P019,D017,78,950000,3,71877000,True
74,1404-09-14,P009,D021,54,610000,5,31293000,True
75,1404-08-08,P005,D013,41,480000,4,18892800,True
76,1404-07-02,P015,D028,69,2100000,3,140553000,True
