sale_id,date,product_id,distribution_id,quantity,unit_price_rial,discount_percent,total_price_rial
1,2026-04-10,P002,D009,17,1050000,0,17850000
2,2026-03-20,P002,D009,9,1050000,3,9166500
3,2025-11-13,P012,D001,24,820000,0,19680000
4,2025-11-12,P016,D014,53,1250000,3,64262500
5,2026-05-15,P011,D014,80,1350000,7,100440000
6,2026-03-16,P014,D009,48,650000,3,30264000
7,2026-01-11,P009,D006,47,610000,3,27809900
8,2026-03-28,P005,D006,53,480000,4,24422400
9,2026-04-28,P017,D009,9,720000,0,6480000
10,2025-11-10,P019,D012,80,950000,8,69920000
11,2025-10-16,P004,D020,83,1450000,7,111925500
12,2025-11-13,P020,D004,10,620000,0,6200000
13,2026-06-07,P009,D014,76,610000,3,44969200
14,2026-04-27,P003,D028,48,580000,6,26169600
15,2025-08-25,P015,D035,24,2100000,2,49392000
16,2026-06-25,P011,D014,28,1350000,0,37800000
17,2026-03-23,P010,D014,41,790000,3,31418300
18,2025-09-24,P010,D028,21,790000,0,16590000
19,2025-11-30,P018,D008,81,590000,7,44444700
20,2026-01-18,P014,D033,60,650000,5,37050000
21,2025-08-31,P012,D001,14,820000,2,11250400
22,2025-09-19,P006,D008,24,850000,3,19788000
23,2025-11-22,P010,D004,60,790000,3,45978000
24,2026-04-24,P020,D015,43,620000,4,25593600
25,2025-11-02,P009,D011,32,610000,0,19520000
26,2025-09-11,P020,D035,36,620000,0,22320000
27,2026-07-04,P018,D001,65,590000,6,36049000
28,2025-12-08,P014,D029,64,650000,3,40352000
29,2026-03-16,P011,D003,102,1350000,6,129438000
30,2025-09-14,P011,D003,12,1350000,0,16200000
31,2026-08-02,P012,D002,16,820000,2,12857600
32,2026-07-30,P005,D009,59,480000,6,26620800
33,2025-12-19,P016,D017,67,1250000,4,80400000
34,2026-02-23,P004,D003,45,1450000,5,61987500
35,2026-03-29,P020,D001,69,620000,4,41068800
36,2025-11-30,P018,D006,45,590000,4,25488000
37,2026-04-29,P018,D010,11,590000,2,6360200
38,2025-09-09,P007,D036,26,580000,3,14627600
39,2026-03-11,P003,D025,39,580000,0,22620000
40,2026-01-28,P002,D034,9,1050000,0,9450000
41,2026-04-22,P008,D032,22,720000,0,15840000
42,2026-08-15,P017,D001,47,720000,4,32486400
43,2025-12-01,P017,D032,74,720000,6,50083200
44,2025-12-31,P017,D009,27,720000,0,19440000
45,2026-08-11,P006,D015,69,850000,5,55717500
46,2025-10-29,P020,D004,68,620000,6,39630400
47,2026-03-26,P011,D021,31,1350000,0,41850000
48,2026-01-05,P003,D012,40,580000,5,22040000
49,2026-02-24, P013 ,D026,82,520000,8,39228800
50,2026-04-25,P018,D011,72,590000,4,40780800
51,2026-01-28,P012,D017,63,820000,4,49593600
52,2026-04-18,P007,D023,18,580000,2,10231200
53,2025-11-15,P005,D009,73,480000,6,32937600
54,2026-01-23,P013,D026,61,520000,3,30768400
55,2026-07-15,P018,D029,43,590000,6,23847800
56,2025-09-11,P006,D017,77,850000,5,62177500
57,2026-08-05,P018,D026,88,590000,8,47766400
58,2026-07-16,P016,D010,34,1250000,3,41225000
59,2026-04-04,P006,D011,45,850000,3,37102500
60,2025-10-14,P005,D026,13,480000,3,6052800
61,2026-01-24,P005,D033,68,480000,6,30681600
62,2026-02-14,P019,D015,64,950000,4,58368000
63,2026-02-18,P006,D014,64,850000,4,52224000
64,2026-08-16,P011,D022,8,1350000,3,10476000
65,2025-10-30,P006,D017,47,850000,6,37553000
66,2025-11-25,P003,D020,43,580000,3,24191800
67,2026-05-24,P020,D001,24,620000,0,14880000
68,2026-03-12,P005,D028,43,480000,3,20020800
69,2026-06-02,P005,D021,51,480000,6,23011200
70,2026-01-17,P015,D025,40,2100000,3,81480000
71,2026-06-09,P012,D020,56,820000,3,44542400
72,2026-06-29,P017,D035,63,720000,5,43092000
73,2026-03-30,P019,D017,78,950000,3,71877000
74,2025-12-05,P009,D021,54,610000,5,31293000
75,2025-10-30,P005,D013,41,480000,4,18892800
76,2025-09-24,P015,D028,69,2100000,3,140553000
77,2025-09-27,P005,D012,82,480000,7,36604800
78,2026-01-27,P016,D026,36,1250000,0,45000000
79,2025-12-19,P016,D025,30,1250000,2,36750000
80,2026-08-16,P017,D013,48,720000,5,32832000
81,2025-09-09,P003,D034,57,580000,5,31407000
82,2026-02-11,P009,D002,58,610000,6,33257200
83,2025-09-20,P013,D006,68,520000,4,33945600
84,2025-10-07,P016,D029,32,1250000,3,38800000
85,2025-12-12,P012,D021,13,820000,0,10660000
86,2026-04-04,P006,D009,64,850000,6,51136000
87,2026-04-30,P010,D011,41,790000,4,31094400
88,2026-07-26,P017,D024,33,720000,0,23760000
89,2026-07-20,P017,D006,50,720000,5,34200000
90,2026-02-01,P010,D015,40,790000,3,30652000
91,2026-03-23,P018,D022,8,590000,0,4720000
92,2026-08-23,P014,D002,29,650000,2,18473000
93,2025-10-30,P012,D018,16,820000,2,12857600
