Distribution_ID,Address,Province,City,Region
D001,,تهران,تهران,شمال
D002,,تهران,تهران,شمال
D003,,تهران,تهران,شمال
D004,,تهران,تهران,جنوب
D005,,تهران,تهران,جنوب
D006,,تهران,تهران,جنوب
D007,,تهران,ورامین,شرق
D008,,تهران,ورامین,شرق
D009,,تهران,ورامین,شرق
D010,,تهران,ورامین,غرب
D011,,تهران,ورامین,غرب
D012,,تهران,ورامین,غرب
D013,,البرز,کرج,شمال
D014,,البرز,کرج,شمال
D015,,البرز,کرج,شمال
D016,,البرز,کرج,جنوب
D017,,البرز,کرج,جنوب
D018,,البرز,کرج,جنوب
D019,,البرز,فردیس,شرق
D020,,البرز,فردیس,شرق
D021,,البرز,فردیس,شرق
D022,,البرز,فردیس,غرب
D023,,البرز,فردیس,غرب
D024,,البرز,فردیس,غرب
D025,,اصفهان,اصفهان,شمال
D026,,اصفهان,اصفهان,شمال
D027,,اصفهان,اصفهان,شمال
D028,,اصفهان,اصفهان,جنوب
D029,,اصفهان,اصفهان,جنوب
D030,,اصفهان,اصفهان,جنوب
D031,,اصفهان,خمینی‌شهر,شرق
D032,,اصفهان,خمینی‌شهر,شرق
D033,,اصفهان,خمینی‌شهر,شرق
D034,,اصفهان,خمینی‌شهر,غرب
D035,,اصفهان,خمینی‌شهر,غرب
D036,,اصفهان,خمینی‌شهر,غرب
