sale_id,date,product_id,region_id,quantity,unit_price_toman,discount_percent,total_price_toman
S000001,2026-04-11,P002,R002,95,102854,5,9282574
S000002,2025-09-04,P003,R006,41,59737,0,2449217
S000003,2026-01-30,P006,R009,25,83904,5,1992720
S000004,2025-10-01,P008,R003,182,74087,10,12135451
S000005,2025-09-22,P007,R012,29,56552,0,1640008
S000006,2026-05-31,P020,R012,31,62628,2,1902639
S000007,2025-12-24,P014,R008,7,68263,0,477841
S000008,2026-02-04,P006,R008,19,89706,0,1704414
S000009,2026-06-18,P017,R001,79,75031,7,5512528
S000010,2026-07-12, P013 ,R001,90,52891,7,4426977
S000011,2025-12-26,P020,R005,49,61231,7,2790297
S000012,2026-01-18,P003,R015,138,62273,3,8335864
S000013,2026-04-27,P011,R007,79,130998,7,9624423
S000014,2026-07-08,P006,R001,22,88424,3,1886968
S000015,2025-10-19,P016,R010,38,127968,0,4862784
S000016,2026-07-28,P018,R003,65,57741,7,3490443
S000017,2026-02-13,P003,R009,31,57314,7,1652363
S000018,2026-08-10,P019,R008,24,96052,5,2189986
S000019,2026-01-31,P006,R001,74,83114,2,6027427
S000020,2025-11-15,P018,R001,41,60730,7,2315635
S000021,2025-11-19,P010,R001,94,80688,2,7432979
S000022,2026-04-24,P020,R003,180,61447,10,9954414
S000023,2025-10-14,P005,R012,8,49466,0,395728
S000024,2026-04-16,P011,R001,41,134124,7,5114148
S000025,2026-07-18,P005,R003,287,50417,15,12299227
S000026,2025-10-19,P007,R006,36,56580,3,1975774
S000027,2026-02-19,P018,R014,62,57671,3,3468334
S000028,2026-01-10,P019,R006,4,98249,5,373346
S000029,2025-12-13,P006,R003,232,85255,12,17405661
S000030,2026-07-28,P019,R006,34,94377,2,3144642
S000031,2025-10-11,P008,R002,200,75412,8,13875808
S000032,2026-04-22,P012,R001,31,86237,3,2593147
S000033,2025-11-30,P013,R002,155,55635,5,8192254
S000034,2025-09-27,P009,R001,24,64144,7,1431694
S000035,2026-03-13,P003,R008,14,59976,0,839664
S000036,2026-01-21,P002,R013,46,104732,3,4673142
S000037,2025-12-23,P012,R015,55,81006,5,4232564
S000038,2026-07-10,P002,R003,277,111214,12,27109525
S000039,2025-10-21,P014,R001,84,66341,5,5294012
S000040,2026-06-18,P018,R007,270,63505,12,15088788
S000041,2025-12-23,P011,R011,177,145360,7,23927710
S000042,2026-03-20,P020,R006,24,64274,5,1465447
S000043,2025-10-05,P018,R001,76,60725,3,4476647
S000044,2025-12-26,P003,R003,238,62002,12,12985699
S000045,2026-04-21,P007,R006,19,60581,0,1151039
S000046,2026-04-02,P007,R001,57,60131,5,3256094
S000047,2026-02-05,P009,R004,29,63624,5,1752841
S000048,2025-09-27,P020,R003,113,66850,5,7176348
S000049,2026-02-02,P018,R008,25,61488,0,1537200
S000050,2026-07-14,P018,R010,21,60592,0,1272432
S000051,2026-03-11,P019,R001,83,98372,7,7593335
S000052,2026-04-01,P015,R011,286,214665,12,54026887
S000053,2026-05-23,P017,R010,35,70454,2,2416572
S000054,2025-11-17,P007,R001,32,60767,2,1905653
S000055,2026-01-15,P007,R001,60,62296,2,3663005
S000056,2026-07-01,P016,R001,57,133510,7,7077365
S000057,2026-03-04,P016,R013,280,121649,12,29974314
S000058,2026-04-22,P017,R011,99,77023,7,7091508
S000059,2026-03-14,P002,R001,65,105631,7,6385394
S000060,2025-12-16,P016,R009,67,121517,2,7978806
S000061,2026-08-23,P008,R010,6,71419,0,428514
S000062,2026-04-04,P006,R001,39,85899,2,3283060
S000063,2026-06-02,P005,R006,26,48542,0,1262092
S000064,2025-09-21,P014,R001,51,63916,2,3194522
S000065,2025-12-22,P009,R005,274,62459,15,14546701
S000066,2026-08-09,P013,R008,31,54161,5,1595041
S000067,2026-06-13,P011,R004,98,143286,2,13761187
S000068,2025-12-02,P009,R006,37,61351,3,2201887
S000069,2025-11-09,P017,R012,21,71353,0,1498413
S000070,2026-05-11,P010,R008,29,79187,3,2227530
S000071,2026-04-30,P007,R004,102,59771,5,5791810
S000072,2026-05-05,P006,R001,41,91341,3,3632632
S000073,2025-11-01,P016,R006,43,132699,2,5591936
S000074,2025-11-14,P005,R005,148,48102,7,6620759
S000075,2026-04-11,P016,R001,46,123785,2,5580228
S000076,2025-11-23,P018,R001,77,57578,3,4300501
S000077,2026-06-14,P020,R002,274,61679,15,14365039
S000078,2026-01-31,P009,R015,72,65612,3,4582342
S000079,2026-08-04,P005,R007,115,47386,10,4904451
S000080,2026-01-31,P012,R002,176,85740,8,13883021
S000081,2026-06-05,P013,R013,229,51292,12,10336364
S000082,2026-06-20,P003,R003,179,58200,10,9376020
S000083,2026-08-02,P010,R001,17,81876,2,1364054
S000084,2025-09-27,P020,R006,4,61978,0,247912
S000085,2026-05-27,P005,R004,47,49912,7,2181654
S000086,2026-08-12,P010,R003,80,82658,5,6282008
S000087,2026-04-20,P009,R001,20,65680,7,1221648
S000088,2026-07-04,P017,R012,29,72705,3,2045192
S000089,2026-04-06,P016,R006,25,122920,5,2919350
S000090,2026-06-10,P015,R001,74,224789,7,15469979
S000091,2026-08-04,P013,R013,169,55215,10,8398202
S000092,2025-11-20,P012,R013,260,80170,15,17717570
S000093,2025-12-19,P017,R001,51,75067,3,3713564
S000094,2026-01-29,P010,R009,47,78269,3,3568284
S000095,2026-03-17,P005,R001,79,48598,3,3724065
S000096,2026-02-16,P002,R006,9,107925,3,942185
S000097,2025-08-29,P004,R014,81,146050,7,11001946
S000098,2026-01-07,P003,R007,240,61922,15,12632088
S000099,2026-07-07,P002,R007,197,106862,5,19999223
S000100,2026-05-26,P014,R001,42,68742,5,2742806
S000101,2025-12-25,P009,R004,88,59700,7,4885848
S000102,2026-04-04,P006,R001,77,88685,7,6350733
S000103,2026-07-18,P014,R004,52,69929,5,3454493
S000104,2026-02-02,P007,R011,88,59927,7,4904426
S000105,2025-12-07,P020,R002,61,65820,5,3814269
S000106,2026-06-01,P005,R002,138,50367,7,6464101
S000107,2026-04-07,P018,,269,58083,12,13749408
S000108,2025-12-16,P009,R010,41,64742,2,2601334
S000109,2026-07-22,P019,R003,206,92937,10,17230520
S000110,2026-07-02,P015,R014,225,209809,8,43430463
S000111,2026-02-01,P014,R006,24,63229,5,1441621
S000112,2025-12-16,P013,R007,255,52775,10,12111862
S000113,2025-09-09,P002,R001,36,107090,7,3585373
S000114,2026-03-23,P015,R007,330,210162,12,61031045
S000115,2025-11-10,P009,R003,260,61577,15,13608517
S000116,2025-12-01,P020,,98,64213,3,6104088
S000117,2025-09-11,P007,R010,18,57582,0,1036476
S000118,2026/06/15,P005,R010,4,51774,5,196741
S000119,2025-11-22,P005,R001,12,49669,2,584107
S000120,2025-10-26,P003,R005,70,59534,3,4042359
S000121,2026-01-31,P005,R009,81,51650,2,4099977
S000122,2026-08-23,P017,R001,58,74658,2,4243561
S000123,2025-10-09,P013,R008,28,53035,5,1410731
S000124,2026-01-22,P017,R007,163,73117,10,10726264
S000125,2026-01-08,P016,R003,123,133941,5,15651006
S000126,2025-09-27,P003,R009,60,60002,5,3420114
S000127,2026-04-22,P009,R014,271,65668,12,15660505
S000128,2025-12-23,P012,R007,140,84558,5,11246214
S000129,2026-05-27,P012,R011,46,85795,3,3828173
S000130,2025-10-28,P014,R003,32,67750,3,2102960
S000131,2025-10-15,P013,R009,37,51340,5,1804601
S000132,2026-05-12,P017,R001,19,70234,2,1307757
S000133,2025-11-30,P013,R004,45,52414,2,2311457
S000134,2025-12-03,P014,R007,69,63442,3,4246173
S000135,2025-12-08,P005,R002,202,48834,10,8878021
S000136,2025-12-31,P014,R011,267,63352,8,15561785
S000137,2026-02-03,P003,R004,61,56995,2,3407161
S000138,2026-08-11,P005,R004,86,51019,3,4256005
S000139,2026-01-24,P009,R012,27,59683,0,1611441
S000140,2026-03-02,P005,R003,95,47602,7,4205637
S000141,2025-10-19,P016,R014,295,129218,12,33544993
S000142,2026-07-04,P013,R001,82,53823,5,4192812
S000143,2026-02-21,P007,R001,53,61717,7,3042031
S000144,2026-02-04,P012,R012,33,81238,5,2546811
S000145,2026-02-09,P005,R001,47,49972,2,2301710
S000146,2025-11-21,P009,R005,130,61770,8,7387692
S000147,2026-04-26,P003,R003,215,58073,10,11237126
S000148,2025-12-18,P012,R003,253,80304,15,17269375
S000149,2026-04-13,P007,R008,39,59504,0,2320656
S000150,2025-12-26,P005,R014,467,47378,12,19470463
S000151,2026-06-27,P003,R011,289,61149,10,15904855
S000152,2026-03-26,P005,R008,11,48484,0,533324
S000153,2026-08-12,P013,R010,16,55065,3,854609
S000154,2026-07-19,P005,R006,29,48576,5,1338269
S000155,2026-01-17,P005,R006,16,48520,0,776320
S000156,2026-05-08,P011,R001,35,133138,7,4333642
S000157,2025-09-27,P018,R012,4,59657,3,231469
S000158,2026-08-22,P008,,181,72112,10,11747045
S000159,2026-05-02,P004,R004,9,144090,3,1257906
S000160,2026-03-08,P015,R001,41,209208,7,7977101
S000161,2025-09-16,P017,R005,323,72147,8,21439203
S000162,2026-04-02,P006,R007,78,91364,7,6627545
S000163,2026-02-21,P020,R003,266,62686,8,15340518
S000164,2025-12-24,P003,R007,92,58381,3,5209920
S000165,2025-12-23,P007,R011,272,57423,10,14057150
S000166,2025-09-16,P017,R003,60,72340,5,4123380
S000167,2026-02-24,P020,R002,146,60466,8,8121793
S000168,2025-11-30,P017,R003,251,77552,15,16545719
S000169,2026-05-01,P008,R002,63,74611,3,4559478
S000170,2026-03-07,P007,R007,205,57323,15,9988533
S000171,2025-12-23,P002,R003,421,112798,8,43688921
S000172,2026-04-23,P009,,27,63247,7,1588132
S000173,2025-09-05,P003,,195,57239,10,10045444
S000174,2026-08-04,P008,R006,35,72047,0,2521645
S000175,2025-09-02,P005,R013,85,48916,7,3866810
S000176,2025-12-04,P019,R001,27,96801,2,2561354
S000177,2026-06-14,P020,R007,60,62186,3,3619225
S000178,2026-05-08,P019,R010,45,100427,0,4519215
S000179,2026-06-06,P002,R003,84,105422,7,8235567
S000180,2026-05-11,P011,R011,64,132051,5,8028701
S000181,2026-04-26,P008,R010,48,73266,0,3516768
S000182,2026-06-22,P011,R001,118,138656,5,15543338
S000183,2026-06-27,P006,R006,12,83324,0,999888
S000184,2026/03/24,P012,R007,212,86984,8,16965359
S000185,2025-09-23,P020,R002,136,64498,10,7894555
S000186,2026-07-13,P011,R003,169,135367,5,21733172
S000187,2026-04-29,P005,R004,51,50353,5,2439603
S000188,2026-08-14,P004,R006,21,147821,0,3104241
S000189,2025-09-29,P007,R006,21,61450,5,1225928
S000190,2026-05-12,P005,R015,133,46682,10,5587835
S000191,2026-02-20,P020,R003,58,65888,7,3553999
S000192,2026-02-07,P011,R004,48,136384,7,6088182
S000193,2025-09-11,P012,R003,254,82063,8,19176482
S000194,2025-10-10,P003,R015,181,57530,10,9371637
S000195,2026-02-18,P002,R003,245,112166,10,24732603
S000196,2025-12-16,P013,R015,109,53356,10,5234224
S000197,2026-05-07,P007,R003,91,61343,7,5191458
S000198,2026-07-07,P013,R002,154,51415,10,7126119
S000199,2025-10-17,P014,R014,86,66044,5,5395795
S000200,2026-04-30,P009,R013,63,62934,7,3687303
S000201,2026-02-10,P008,R004,76,75954,5,5483879
S000202,2026-03-31,P005,R006,20,50632,0,1012640
S000203,2026-04-30,P010,R006,21,81350,3,1657100
S000204,2026-06-17,P020,R003,155,66442,8,9474629
S000205,2026-05-21,P005,R002,180,49658,7,8312749
S000206,2025-09-11,P018,R002,89,57883,3,4997039
S000207,2025-08-25,P012,R004,64,88235,5,5364688
S000208,2025-12-04,P003,R007,228,62236,10,12770827
S000209,2026-01-16,P017,R001,55,75772,5,3959087
S000210,2026-07-08,P001,R001,62,190506,7,10984576
S000211,2026-07-13,P004,R002,96,150990,7,13480387
S000212,2025-10-30,P016,R006,17,133584,3,2202800
S000213,2026-02-24,P003,R001,32,56304,7,1675607
S000214,2025-11-17,P016,R003,34,124499,7,3936658
S000215,2025-10-06,P007,R005,203,62261,12,11122305
S000216,2026-04-02,P005,R001,95,51380,3,4734667
S000217,2026-05-27,P014,R010,39,63608,5,2356676
S000218,2025-10-04,P017,R002,122,73339,7,8321043
S000219,2026-05-10,P010,R004,18,80600,2,1421784
S000220,2026-03-12,P014,R001,47,67185,2,3094541
S000221,2026-01-19,P014,R001,18,65103,3,1136698
S000222,2026-05-29,P016,R007,308,127417,15,33357771
S000223,2025-12-30,P014,R005,274,65860,10,16241076
S000224,2026-05-14,P005,R001,53,48799,7,2405303
S000225,2026-06-18,P006,R002,94,88200,3,8042076
S000226,2025-11-19,P003,R004,83,60985,7,4707432
S000227,2026-01-25,P011,R010,9,143064,5,1223197
S000228,2025-12-13,P012,R003,220,84242,15,15753254
S000229,2025-12-08,P003,R012,20,59422,2,1164671
S000230,2026-08-02,P014,R003,232,64365,15,12692778
S000231,2025-11-19,P005,R001,72,51670,3,3608633
S000232,2026-01-03,P006,R001,59,89225,3,5106347
S000233,2025-09-11,P008,R001,21,75576,3,1539483
S000234,2026-02-10,P018,R014,34,62042,7,1961768
S000235,2026-08-23,P010,R006,15,79425,2,1167548
S000236,2025-12-31,P011,R002,296,142872,15,35946595
S000236,2025-12-31,P011,R002,296,142872,15,35946595
S000238,2026-03-10,P012,R003,128,87057,10,10028966
S000239,2026-03-09,P019,R009,77,97277,3,7265619
S000240,2026-05-16,P008,R006,15,74923,0,1123845
S000241,2026-02-27,P017,R011,54,76513,3,4007751
S000242,2025-09-18,P005,R004,18,49815,7,833903
S000243,2026-04-19,P001,R004,11,199342,2,2148907
S000244,2026-02-19,P014,R014,107,64115,7,6380084
S000245,2026-04-04,P006,R010,9,87733,0,789597
S000246,2025-12-08,P017,R015,164,72844,10,10751774
S000247,2025-09-13,P001,R005,243,199339,8,44564227
S000248,2026-07-15,P019,R013,337,99302,12,29449001
S000249,2026-07-17,P012,R013,176,80841,10,12805214
S000250,2026-07-28,P007,R006,28,58709,0,1643852
S000251,2026-06-06,P014,R009,54,69047,5,3542111
S000252,2026-03-29,P013,R014,186,56118,10,9394153
S000253,2025-11-14,P012,R001,74,85120,3,6109914
S000254,2026-05-09,P003,R008,12,56940,0,683280
S000255,2026-08-02,P009,R001,21,62892,7,1228281
S000256,2025-10-01,P003,R006,20,58900,0,1178000
S000257,2026-05-13,P012,R002,291,80792,12,20689215
S000258,2025-11-29,P004,R002,160,144665,7,21526152
S000259,2026-05-11,P010,R004,32,79517,7,2366426
S000260,2026-06-11,P007,R010,12,60696,3,706501
S000261,2025-12-12,P020,R003,316,62363,12,17341903
S000262,2026-06-16,P008,R006,37,75920,0,2809040
S000263,2026-08-06,P009,R004,41,64859,7,2473074
S000264,2026-04-23,P004,R002,122,141830,10,15572934
S000265,2026-03-21,P011,R012,33,136289,5,4272660
S000266,2026-03-25,P019,R002,225,98036,15,18749385
S000267,2026-08-11,P007,R001,23,59570,3,1329007
